X,Y,OBJECTID,NAME,ADDRESS,ID,ZIPCODE,WARD
-77.0181636370592,38.8767160092998,239,CVS(Allpoint),401 M STREET SW,48,20024,6
-76.9947466999063,38.8952303411139,240,7-Eleven(Allpoint),407 8TH STREET NE,49,20002,6
-77.009556904679,38.877167090418,241,7-Eleven(Allpoint),1101 SOUTH CAPITOL STREET SW,50,20003,6
-77.0039444585427,38.8769590507251,242,CVS(Allpoint),1100 NEW JERSEY AVENUE SE,51,20003,6
-76.9964045397085,38.8844701683718,243,CVS(Allpoint),661 PENNSYLVANIA AVENUE SE,52,20003,6
-76.9952763951605,38.8828856431535,244,7-Eleven(Allpoint),429 8TH STREET SE,53,20003,6
-77.0000965513043,38.8762243023973,245,Harris Teeter(Allpoint),401 M STREET SE,54,20003,6
-76.9866249868354,38.880209661425,246,Harris Teeter(Allpoint),1350 POTOMAC AVENUE SE,55,20003,6
-76.9503362062154,38.892985646654,247,Bank of America ,3845 MINNESOTA AVENUE NE,1,20019,7
-76.9809993425169,38.8449494801789,248,PNC,1535 ALABAMA AVENUE SE,1,20032,8
-76.989240045016,38.8654456993097,249,Bank of America,2100 MARTIN LUTHER KING JR AVENUE SE,2,20020,8
-77.0181059576135,38.8224470257758,250,NRL FCU(Money Pass),4555 OVERLOOK AVENUE SW,3,20375,8
-77.0469627986887,38.9163819073934,251,"ACFN of Mid-Maryland, LLC","1914 Connecticut Avenue, NW ",145,20009,2
-77.0360622296961,38.918661104695,252,"ACFN of Mid-Maryland, LLC","2101 16th Street, NW ",146,20009,1
-77.0462842170267,38.905912681597,253,"ACFN of Mid-Maryland, LLC","2033 M Street, NW ",147,20036,2
-77.0193523404382,38.8931322478003,254,"ACFN of Mid-Maryland, LLC","555 Pennsylvania Avenue, NW ",148,20001,2
-77.0317355532162,38.9154389081433,255,"ACFN of Mid-Maryland, LLC",1847 14th Street NW ,149,20009,1
-77.0242265100731,38.9167189890464,256,"ALLIED ASSOCIATES, INC.",1940 9th Street NW ,158,20001,1
-77.0214307004948,38.9016617253413,257,ALLY FINANCIAL INC.,650 Massachusetts Avenue NW ,150,20001,2
-77.0382413980978,38.9117797545553,258,ALLY FINANCIAL INC.,1617 17th Street ,143,20009,2
-77.0112745012546,38.8945690609469,259,ALLY FINANCIAL INC.,300 New Jersey Ave NW ,151,20001,6
-77.0277702465742,38.917171409768,260,ALLY FINANCIAL INC.,1115A U Street NW ,152,20002,1
-77.0226705264943,38.9174312298389,261,ALLY FINANCIAL INC.,2009 8th Street NW ,153,20009,1
-77.0226705264943,38.9174312298389,262,ALLY FINANCIAL INC.,2009 8th Street NW box office,154,20009,1
-77.0226705264943,38.9174312298389,263,"American PCS Communications, LLC",2009 8th Street NW upstairs,155,20009,1
-77.0464972013973,38.8981938754393,264,"American PCS Communications, LLC",2036 G Street NW upstairs,160,20052,2
-77.0427362665168,38.9219346427135,265,"American PCS Communications, LLC",2450 18th Street NW upstairs,165,20052,1
-77.0222196357682,38.9003178010348,266,AMKO INTERNATIONAL INC.,810 7th Street NW upstairs,168,20001,2
-77.0960888339906,38.9163076049886,267,"Aqua Finance, Inc.",4812 Macarthur Blvd NW upstairs,167,20007,3
-77.0279121730051,38.8959094177425,268,AT&T Mobility Next Operations LLC,425 12th Street NW upstairs,166,20004,2
-77.0243637566727,38.9350288170775,269,"Atlantic Financial, Inc.",3634 Georgia Avenue NW upstairs,164,20010,1
-76.9912167126449,38.9003949844274,270,ATM Services Corporation,1104 H Street NE ,163,20002,6
-77.0335848737462,38.9066844439373,271,ATM Services Corporation,"1475 Massachusetts Avenue, NW ",162,20005,2
-77.0266923691531,38.9067981958293,272,ATM Services Corporation,1231 11th Street NW ,161,20001,2
-77.0255289822889,38.9410364720736,273,ATM Services Corporation,4100 Georgia Ave NW ,156,20011,4
-77.0216229772062,38.9206161430727,274,ATM Services Corporation,2301 f georgia ave nw ,159,20001,1
-76.9510798110312,38.8948436667649,275,ATM Services Corporation,3701 Benning Road NE ,157,20019,7
-76.9743772112971,38.8983091412104,276,ATM Services Corporation,"2033 BENNING ROAD, NE ",144,20002,2
